DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
240908099,04/17/2024 12:00:00 AM,04/17/2024 12:00:00 AM,0721,09,Van Nuys,0905,2,901,VIOLATION OF RESTRAINING ORDER,0329 1501 2038,39,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,901,,,,7400    KESTER                       AV,,34.2048,-118.4575
240908141,04/18/2024 12:00:00 AM,04/17/2024 12:00:00 AM,1800,09,Van Nuys,0926,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,6700    MURIETTA                     AV,,34.1917,-118.4389
240908143,04/18/2024 12:00:00 AM,04/17/2024 12:00:00 AM,2100,09,Van Nuys,0952,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,5500 N  SEPULVEDA                    BL,,34.1703,-118.4662
240608680,04/23/2024 12:00:00 AM,04/17/2024 12:00:00 AM,0210,06,Hollywood,0638,2,354,THEFT OF IDENTITY,1501,28,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,1800    GARFIELD                     PL,,34.1036,-118.3108
240208928,04/17/2024 12:00:00 AM,04/17/2024 12:00:00 AM,0100,02,Rampart,0257,1,330,BURGLARY FROM VEHICLE,1822 0344 1307,32,M,B,102,SIDEWALK,,,IC,Invest Cont,330,,,,600    LUCAS                        AV,,34.0552,-118.2675
240908108,04/17/2024 12:00:00 AM,04/17/2024 12:00:00 AM,1215,09,Van Nuys,0915,2,900,VIOLATION OF COURT ORDER,2038 2000,19,F,H,101,STREET,,,IC,Invest Cont,900,,,,7100    VAN NUYS                     BL,,34.1976,-118.4443
240208936,04/17/2024 12:00:00 AM,04/17/2024 12:00:00 AM,1640,02,Rampart,0281,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1822 0344 0342,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,442,,,,2000 W  PICO                         BL,,34.0491,-118.2823
240708282,04/21/2024 12:00:00 AM,04/17/2024 12:00:00 AM,0930,07,Wilshire,0736,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 2028,0,X,X,404,DEPARTMENT STORE,,,IC,Invest Cont,442,,,,400 S  LA BREA                      AV,,34.0669,-118.3456
240200647,04/17/2024 12:00:00 AM,04/17/2024 12:00:00 AM,1700,02,Rampart,0289,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1419 1402 1309 0906 1822 0416,0,M,H,101,STREET,102,HAND GUN,IC,Invest Cont,230,998,,,11TH,BLAINE,34.0459,-118.271
240209044,04/20/2024 12:00:00 AM,04/17/2024 12:00:00 AM,2030,02,Rampart,0249,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344 2032,35,M,W,404,DEPARTMENT STORE,,,IC,Invest Cont,440,,,,1100 W  6TH                          ST,,34.0541,-118.2621
240908133,04/17/2024 12:00:00 AM,04/17/2024 12:00:00 AM,2125,09,Van Nuys,0964,2,624,BATTERY - SIMPLE ASSAULT,0444 0416 0446 1202,68,M,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,13800    HARTSOOK                     ST,,34.1639,-118.4335
240908083,04/17/2024 12:00:00 AM,04/17/2024 12:00:00 AM,0700,09,Van Nuys,0998,2,903,CONTEMPT OF COURT,2038,27,M,H,109,PARK/PLAYGROUND,,,IC,Invest Cont,903,,,,12600    MULHOLLAND                   DR,,34.137,-118.4187
240708493,04/29/2024 12:00:00 AM,04/17/2024 12:00:00 AM,1400,07,Wilshire,0765,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,1200 S  LA BREA                      AV,,34.0534,-118.3436
241708452,04/17/2024 12:00:00 AM,04/17/2024 12:00:00 AM,1530,17,Devonshire,1729,2,624,BATTERY - SIMPLE ASSAULT,1202 0444 1601,86,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,11200    WISH                         AV,,34.2745,-118.5062
240908383,04/24/2024 12:00:00 AM,04/17/2024 12:00:00 AM,0930,09,Van Nuys,0981,2,624,BATTERY - SIMPLE ASSAULT,1019 0400 1822 2004,37,F,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,VENTURA,NOBLE,34.1531,-118.4617
241708635,04/22/2024 12:00:00 AM,04/17/2024 12:00:00 AM,1900,17,Devonshire,1708,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 0385,22,F,W,101,STREET,,,IC,Invest Cont,331,,,,16300    SHAMHART                     DR,,34.2887,-118.4867
240708189,04/18/2024 12:00:00 AM,04/17/2024 12:00:00 AM,1930,07,Wilshire,0763,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1600 S  STANLEY                      AV,,34.0466,-118.3626
241708501,04/18/2024 12:00:00 AM,04/17/2024 12:00:00 AM,2030,17,Devonshire,1764,1,330,BURGLARY FROM VEHICLE,0344 1307 0377,62,M,A,108,PARKING LOT,,,IC,Invest Cont,330,,,,CORBIN                       AV,DEARBORN                     ST,34.2373,-118.5623
240908169,04/18/2024 12:00:00 AM,04/17/2024 12:00:00 AM,0845,09,Van Nuys,0966,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822,30,F,B,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,4800    FULTON                       AV,,34.1622,-118.4269
240208943,04/17/2024 12:00:00 AM,04/17/2024 12:00:00 AM,1330,02,Rampart,0221,2,624,BATTERY - SIMPLE ASSAULT,0910 2050 2052 0416,29,M,W,809,METROLINK TRAIN,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,300 N  VERMONT                      AV,,34.0777,-118.2961
240708182,04/17/2024 12:00:00 AM,04/17/2024 12:00:00 AM,0550,07,Wilshire,0747,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,800 S  TREMAINE                     AV,,34.0608,-118.3359
240908168,04/19/2024 12:00:00 AM,04/17/2024 12:00:00 AM,2000,09,Van Nuys,0933,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,14700    ERWIN                        ST,,34.1836,-118.4531
240208935,04/18/2024 12:00:00 AM,04/17/2024 12:00:00 AM,1940,02,Rampart,0299,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1300    VALENCIA                     ST,,34.0437,-118.2749
241708484,04/19/2024 12:00:00 AM,04/17/2024 12:00:00 AM,2200,17,Devonshire,1721,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,11100    REDMESA                      RD,,34.2734,-118.6111
